Model,R2,MAE,RMSE
Linear Regression,0.9175563234508446,447.7720648081269,975.294205565874
Random Forest,0.9573200900850541,353.4542857142859,701.7278542080462
XGBoost,0.9536082148551941,530.88330078125,731.6064515844567
